release_date,title,description,topic_category,topic_subcategory,current_release_substance,suggested_release_substance,audit_reason
2025-09-10,Claude Code 1.0.110,/terminal-setup command now supports WezTerm MCP: OAuth tokens now proactively refresh before expiration Fixed reliability issues with background Bash processes,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-04-02,Claude Code 0.2.49,Previous MCP server scopes have been renamed: previous “project” scope is now “local” and “global” scope is now “user”,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-07-28,Claude Code 1.0.62,Added @-mention support with typeahead for custom agents. @ <your-custom-agent> to invoke it Hooks: Added SessionStart hook for new session initialization /add-dir command now supports typeahead for directory paths Improved network connectivity check reliability,agent/tooling,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2026-01-09,Claude Code 2.1.3,"Merged slash commands and skills, simplifying the mental model with no change in behavior Added release channel ( stable or latest ) toggle to /config Added detection and warnings for unreachable permission rules, with warnings in /doctor and after saving rules that include the source of each rule a",model release,permissions/security,substantive,substantive,Contains user-visible capability or behavior change
2026-04-28,Claude Code 2.1.121,"Added alwaysLoad option to MCP server config — when true , all tools from that server skip tool-search deferral and are always available Added claude plugin prune to remove orphaned auto-installed plugin dependencies; plugin uninstall --prune cascades Added a type-to-filter search box to /skills so ",agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-04-17,Claude Code 0.2.67,Shared project permission rules can be saved in .claude/settings.json,coding,permissions/security,substantive,substantive,Contains user-visible capability or behavior change
2025-07-07,Claude Code 1.0.44,New /export command lets you quickly export a conversation for sharing MCP: resource_link tool results are now supported MCP: tool annotations and tool titles now display in /mcp view Changed Ctrl+Z to suspend Claude Code. Resume by running fg . Prompt input undo is now Ctrl+U.,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2026-04-23,Claude Code 2.1.118,"Added vim visual mode ( v ) and visual-line mode ( V ) with selection, operators, and visual feedback Merged /cost and /stats into /usage — both remain as typing shortcuts that open the relevant tab Create and switch between named custom themes from /theme , or hand-edit JSON files in ~/.claude/them",agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-04-02,Claude Code 0.2.31,Custom slash commands: Markdown files in .claude/commands/ directories now appear as custom slash commands to insert prompts into your conversation MCP debug mode: Run with —mcp-debug flag to get more information about MCP server errors,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-12-19,Claude Code 2.0.73,"Added clickable [Image #N] links that open attached images in the default viewer Added alt-y yank-pop to cycle through kill ring history after ctrl-y yank Added search filtering to the plugin discover screen (type to filter by name, description, or marketplace) Added support for custom session IDs w",agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2026-01-14,Claude Code 2.1.7,"Added showTurnDuration setting to hide turn duration messages (e.g., “Cooked for 1m 6s”) Added ability to provide feedback when accepting permission prompts Added inline display of agent’s final response in task notifications, making it easier to see results without reading the full transcript file ",agent/tooling,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2026-02-20,Claude Code 2.1.50,"Added support for startupTimeout configuration for LSP servers Added WorktreeCreate and WorktreeRemove hook events, enabling custom VCS setup and teardown when agent worktree isolation creates or removes worktrees. Fixed a bug where resumed sessions could be invisible when the working directory invo",agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-08-14,Claude Code 1.0.77,"Bash tool: Fix heredoc and multiline string escaping, improve stderr redirection handling SDK: Add session support and permission denial tracking Fix token limit errors in conversation summarization Opus Plan Mode: New setting in /model to run Opus only in plan mode, Sonnet otherwise",model release,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2025-04-02,Claude Code 0.2.37,New /release-notes command lets you view release notes at any time claude config add/remove commands now accept multiple values separated by commas or spaces,coding,cli workflow,substantive,substantive,Contains user-visible capability or behavior change
2025-08-11,Claude Code 1.0.72,Ask permissions: have Claude Code always ask for confirmation to use specific tools with /permissions,coding,permissions/security,substantive,substantive,Contains user-visible capability or behavior change
2025-08-18,Claude Code 1.0.84,"Fix tool_use/tool_result id mismatch error when network is unstable Fix Claude sometimes ignoring real-time steering when wrapping up a task @-mention: Add ~/.claude/* files to suggestions for easier agent, output style, and slash command editing Use built-in ripgrep by default; to opt out of this b",agent/tooling,MCP/tooling,substantive,maintenance,"Multiple fixes, no visible new capability (2 fix signals)"
2026-04-15,Claude Code 2.1.110,Added /tui command and tui setting — run /tui fullscreen to switch to flicker-free rendering in the same conversation Added push notification tool — Claude can send mobile push notifications when Remote Control and “Push when Claude decides” config are enabled Changed Ctrl+O to toggle between normal,coding,cli workflow,substantive,substantive,Contains user-visible capability or behavior change
2025-11-18,Claude Code 2.0.45,Added support for Microsoft Foundry! See https://code.claude.com/docs/en/azure-ai-foundry Added PermissionRequest hook to automatically approve or deny tool permission requests with custom logic Send background tasks to Claude Code on the web by starting a message with &,coding,permissions/security,substantive,substantive,Contains user-visible capability or behavior change
2026-04-28,Claude Code 2.1.120,"Windows: Git for Windows (Git Bash) is no longer required — when absent, Claude Code uses PowerShell as the shell tool Added claude ultrareview [target] subcommand to run /ultrareview non-interactively from CI or scripts — prints findings to stdout ( --json for raw output) and exits 0 on completion ",agent/tooling,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2025-06-18,Claude Code 1.0.27,Streamable HTTP MCP servers are now supported Remote MCP servers (SSE and HTTP) now support OAuth MCP resources can now be @-mentioned /resume slash command to switch conversations within Claude Code,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
